λ	T
539.8	1e-07
540	1e-07
540.2	1e-07
540.4	1e-07
540.6	1e-07
540.8	1e-07
541	1e-07
541.2	1e-07
541.4	1e-07
541.6	1e-07
541.8	1e-07
542	1e-07
542.2	1e-07
542.4	1e-07
542.6	1e-07
542.8	1e-07
543	1e-07
543.2	1e-07
543.4	1e-07
543.6	1e-07
543.8	1e-07
544	1e-07
544.2	1e-07
544.4	1e-07
544.6	1e-07
544.8	1e-07
545	1e-07
545.2	1e-07
545.4	1e-07
545.6	1e-07
545.8	1e-07
546	1e-07
546.2	1e-07
546.4	1e-07
546.6	1e-07
546.8	1e-07
547	1e-07
547.2	1e-07
547.4	1e-07
547.6	1e-07
547.8	1e-07
548	1e-07
548.2	1e-07
548.4	1e-07
548.6	1e-07
548.8	1e-07
549	1e-07
549.2	1e-07
549.4	1e-07
549.6	1e-07
549.8	1e-07
550	1e-07
550.2	1e-07
550.4	1e-07
550.6	1e-07
550.8	1e-07
551	1e-07
551.2	1e-07
551.4	1e-07
551.6	1e-07
551.8	1e-07
552	1e-07
552.2	1e-07
552.4	1e-07
552.6	1e-07
552.8	1e-07
553	1e-07
553.2	1e-07
553.4	1e-07
553.6	1e-07
553.8	1e-07
554	1e-07
554.2	1e-07
554.4	1e-07
554.6	1e-07
554.8	1e-07
555	1e-07
555.2	1e-07
555.4	1e-07
555.6	1e-07
555.8	1e-07
556	1e-07
556.2	1e-07
556.4	1e-07
556.6	1e-07
556.8	1e-07
557	1e-07
557.2	1e-07
557.4	1e-07
557.6	1e-07
557.8	1e-07
558	1e-07
558.2	1e-07
558.4	1e-07
558.6	1e-07
558.8	1e-07
559	1e-07
559.2	1e-07
559.4	1e-07
559.6	1e-07
559.8	1e-07
560	1e-07
560.2	1e-07
560.4	1e-07
560.6	1e-07
560.8	1e-07
561	1e-07
561.2	1e-07
561.4	1e-07
561.6	1e-07
561.8	1e-07
562	1e-07
562.2	1e-07
562.4	1e-07
562.6	1e-07
562.8	1e-07
563	1e-07
563.2	1e-07
563.4	1e-07
563.6	1e-07
563.8	1e-07
564	1e-07
564.2	1e-07
564.4	1e-07
564.6	1e-07
564.8	1e-07
565	1e-07
565.2	1e-07
565.4	1e-07
565.6	1e-07
565.8	1e-07
566	1e-07
566.2	1e-07
566.4	1e-07
566.6	1e-07
566.8	1e-07
567	1e-07
567.2	1e-07
567.4	1e-07
567.6	1e-07
567.8	1e-07
568	1e-07
568.2	1e-07
568.4	1e-07
568.6	1e-07
568.8	1e-07
569	1e-07
569.2	1e-07
569.4	1e-07
569.6	1e-07
569.8	1e-07
570	1e-07
570.2	1e-07
570.4	1.33928618806457e-07
570.6	3.96245533270815e-07
570.8	1.24628574719632e-06
571	4.21326448246897e-06
571.2	1.55385331885012e-05
571.4	6.38295866892535e-05
571.6	0.000301153601436348
571.8	0.00171279260864152
572	0.0127200163043024
572.2	0.133891676225759
572.4	0.845948936398079
572.6	0.99012621469075
572.8	0.992345067862678
573	0.990458116915181
573.2	0.988594403338812
573.4	0.992300489402474
573.6	0.992375588956809
573.8	0.98919169426644
574	0.988469581581787
574.2	0.99095454474706
574.4	0.99303086334885
574.6	0.99227254921067
574.8	0.989816849228535
575	0.988325576232099
575.2	0.989132251729221
575.4	0.991386943260371
575.6	0.993177476458218
575.8	0.993196828669438
576	0.991610511812301
576.2	0.989689273066419
576.4	0.988769450085167
576.6	0.989399369646197
576.8	0.991131142699325
577	0.99291138711512
577.2	0.993742088080685
577.4	0.993219860135891
577.6	0.991683576615835
577.8	0.989953440926677
578	0.988870576826297
578.2	0.98890104464298
578.4	0.989968317317293
578.6	0.991539994497451
578.8	0.992894261866006
579	0.99343900282655
579.2	0.992948817123565
579.4	0.991628845610366
579.6	0.989997756578584
579.8	0.988661836761964
580	0.988084452121989
580.2	0.988434626873608
580.4	0.989552642287498
580.6	0.991027320654978
580.8	0.992349255094907
581	0.993086134809515
581.2	0.993021831523179
581.4	0.992214716294509
581.6	0.990961423126886
581.8	0.989687338192338
582	0.988807797013169
582.2	0.988606147311489
582.4	0.989161071609282
